City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date - Time Reported
Portland,AU,-33.35,46.99,70,31,13.0,07/13/2019 - 01:50 AM
Ushuaia,AR,-54.81,39.2,80,75,5.82,07/13/2019 - 01:50 AM
Geraldton,AU,-28.77,69.8,43,0,13.87,07/13/2019 - 01:50 AM
Orda,RU,57.2,77.27,69,91,10.76,07/13/2019 - 01:50 AM
Sao Filipe,CV,14.9,72.05,85,0,14.5,07/13/2019 - 01:50 AM
Eureka,US,40.8,61.0,87,90,6.93,07/13/2019 - 01:47 AM
Atuona,PF,-9.8,80.69,75,53,14.61,07/13/2019 - 01:50 AM
Albany,AU,-35.02,55.4,71,90,3.36,07/13/2019 - 01:50 AM
Fuxin,CN,42.02,86.45,37,23,7.87,07/13/2019 - 01:50 AM
Rikitea,PF,-23.12,74.03,81,56,11.43,07/13/2019 - 01:50 AM
East London,ZA,-33.02,57.2,87,0,10.29,07/13/2019 - 01:50 AM
Kruisfontein,ZA,-34.0,50.81,91,6,4.83,07/13/2019 - 01:50 AM
Tuatapere,NZ,-46.13,50.0,90,99,1.01,07/13/2019 - 01:50 AM
Iqaluit,CA,63.75,48.2,81,40,3.36,07/13/2019 - 01:50 AM
Hearst,CA,49.69,55.67,97,32,6.15,07/13/2019 - 01:50 AM
Nanortalik,GL,60.14,40.73,88,77,3.47,07/13/2019 - 01:50 AM
Alice Springs,AU,-23.7,64.4,36,0,13.87,07/13/2019 - 01:50 AM
Korla,CN,41.76,78.71,24,3,7.43,07/13/2019 - 01:51 AM
Jamestown,SH,-15.94,68.63,67,80,13.51,07/13/2019 - 01:51 AM
Punta Arenas,CL,-53.16,39.2,100,90,10.29,07/13/2019 - 01:51 AM
Flagstaff,US,35.2,72.0,63,75,2.01,07/13/2019 - 01:47 AM
Bredasdorp,ZA,-34.53,48.99,97,1,2.62,07/13/2019 - 01:51 AM
Nagapattinam,IN,10.76,97.43,36,97,9.1,07/13/2019 - 01:51 AM
Severo-Yeniseyskiy,RU,60.37,83.03,30,18,4.65,07/13/2019 - 01:48 AM
Castro,CL,-42.48,46.4,100,90,12.75,07/13/2019 - 01:51 AM
Mobile,US,30.69,82.99,94,75,17.22,07/13/2019 - 01:47 AM
Haines Junction,CA,60.75,49.73,77,98,5.19,07/13/2019 - 01:51 AM
Avarua,CK,-21.21,69.8,77,59,2.24,07/13/2019 - 01:51 AM
