City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date Reported
Dikson,RU,73.51,32.6,88,0,15.66,07/12/2019 - 05:37 PM
Kapaa,US,22.08,84.2,58,75,8.05,07/12/2019 - 05:37 PM
Albany,AU,-35.02,42.8,100,95,1.99,07/12/2019 - 05:40 PM
Rikitea,PF,-23.12,74.18,79,9,17.18,07/12/2019 - 05:38 PM
Los Llanos de Aridane,ES,28.66,73.4,69,2,11.41,07/12/2019 - 05:38 PM
Mount Isa,AU,-20.73,55.4,58,81,10.29,07/12/2019 - 05:40 PM
Torbay,CA,47.66,62.01,62,20,6.93,07/12/2019 - 05:37 PM
Jamestown,SH,-15.94,69.68,67,100,14.14,07/12/2019 - 05:40 PM
Yellowknife,CA,62.45,59.0,44,75,17.22,07/12/2019 - 05:40 PM
Atuona,PF,-9.8,79.76,71,24,15.99,07/12/2019 - 05:37 PM
Nanortalik,GL,60.14,40.88,89,100,3.13,07/12/2019 - 05:40 PM
Hilo,US,19.71,82.4,61,75,6.93,07/12/2019 - 05:40 PM
Puerto Ayora,EC,-0.74,82.4,54,20,14.99,07/12/2019 - 05:40 PM
Punta Arenas,CL,-53.16,41.0,100,90,14.99,07/12/2019 - 05:37 PM
Qaqortoq,GL,60.72,53.6,66,75,13.87,07/12/2019 - 05:40 PM
Narsaq,GL,60.91,53.6,66,75,13.87,07/12/2019 - 05:40 PM
Ushuaia,AR,-54.81,39.2,80,75,6.93,07/12/2019 - 05:38 PM
Upernavik,GL,72.79,46.64,72,4,0.29,07/12/2019 - 05:40 PM
Chokurdakh,RU,70.62,69.68,55,71,13.29,07/12/2019 - 05:37 PM
Barrow,US,39.51,89.01,48,1,3.06,07/12/2019 - 05:40 PM
Tuktoyaktuk,CA,69.44,42.8,75,75,6.93,07/12/2019 - 05:40 PM
Bhunya,SZ,-26.54,52.4,99,80,2.86,07/12/2019 - 05:40 PM
Hermanus,ZA,-34.42,57.0,84,0,7.0,07/12/2019 - 05:37 PM
Bonthe,SL,7.53,76.34,88,100,10.94,07/12/2019 - 05:40 PM
Hithadhoo,MV,-0.6,83.9,76,17,11.01,07/12/2019 - 05:37 PM
Ponta do Sol,CV,17.2,77.0,69,20,19.46,07/12/2019 - 05:40 PM
Longyearbyen,SJ,78.22,42.8,81,75,10.29,07/12/2019 - 05:40 PM
Provideniya,RU,64.42,71.48,38,100,2.28,07/12/2019 - 05:40 PM
Bambous Virieux,MU,-20.34,69.8,64,20,5.82,07/12/2019 - 05:40 PM
Zabol,IR,31.03,91.4,24,0,16.11,07/12/2019 - 05:40 PM
Flinders,AU,-34.58,53.01,53,56,23.04,07/12/2019 - 05:40 PM
Poum,NC,-20.23,70.22,76,100,3.4,07/12/2019 - 05:40 PM
Tornio,FI,61.12,57.2,58,0,3.36,07/12/2019 - 05:40 PM
Saint-Philippe,RE,-21.36,66.2,63,75,8.05,07/12/2019 - 05:40 PM
Rudnya,RU,50.8,55.46,87,37,2.62,07/12/2019 - 05:40 PM
Busselton,AU,-33.64,48.99,84,100,16.49,07/12/2019 - 05:40 PM
Carnarvon,AU,-24.87,51.8,93,0,6.93,07/12/2019 - 05:40 PM
Coquimbo,CL,-29.95,60.01,76,0,10.29,07/12/2019 - 05:40 PM
Victoria,SC,-4.62,78.8,83,75,14.99,07/12/2019 - 05:40 PM
Cape Town,ZA,-33.93,53.01,87,0,18.23,07/12/2019 - 05:40 PM
Port Blair,IN,11.67,83.54,77,100,15.86,07/12/2019 - 05:40 PM
Miraflores,CO,5.2,60.14,92,14,3.89,07/12/2019 - 05:40 PM
Vanimo,PG,-2.67,77.96,86,100,10.87,07/12/2019 - 05:40 PM
Norrtalje,SE,59.76,53.01,93,0,2.24,07/12/2019 - 05:40 PM
Port Lincoln,AU,-34.72,54.02,64,55,27.65,07/12/2019 - 05:40 PM
Caravelas,BR,-17.73,73.1,71,87,6.64,07/12/2019 - 05:40 PM
Cidreira,BR,-30.17,66.62,77,66,5.61,07/12/2019 - 05:40 PM
Vila Velha,BR,-3.71,86.0,78,0,12.75,07/12/2019 - 05:37 PM
Bethel,US,60.79,66.2,68,75,14.99,07/12/2019 - 05:40 PM
Port Alfred,ZA,-33.59,61.0,84,95,13.6,07/12/2019 - 05:40 PM
Cherskiy,RU,68.75,57.44,69,47,13.38,07/12/2019 - 05:40 PM
Constantine,DZ,36.36,77.0,44,0,2.82,07/12/2019 - 05:40 PM
Itarema,BR,-2.92,78.14,72,20,10.2,07/12/2019 - 05:40 PM
Enkoping,SE,59.64,55.4,82,35,2.98,07/12/2019 - 05:37 PM
Mount Gambier,AU,-37.83,44.6,87,75,19.46,07/12/2019 - 05:40 PM
Alyangula,AU,-13.85,68.0,94,2,4.7,07/12/2019 - 05:40 PM
Awjilah,LY,29.14,81.56,47,0,14.25,07/12/2019 - 05:40 PM
North Bend,US,43.41,70.0,72,90,14.99,07/12/2019 - 05:40 PM
Hof,NO,59.53,66.99,93,0,8.05,07/12/2019 - 05:40 PM
Severo-Kurilsk,RU,50.68,44.66,94,100,8.52,07/12/2019 - 05:40 PM
Avarua,CK,-21.21,71.6,94,75,3.36,07/12/2019 - 05:37 PM
Predivinsk,RU,57.07,53.66,62,0,4.88,07/12/2019 - 05:40 PM
Kavaratti,IN,10.57,82.82,79,30,10.49,07/12/2019 - 05:37 PM
Maniitsoq,GL,65.42,42.86,89,100,9.73,07/12/2019 - 05:40 PM
Mar del Plata,AR,-46.43,42.86,61,82,4.68,07/12/2019 - 05:37 PM
Leshukonskoye,RU,64.9,43.4,89,29,1.36,07/12/2019 - 05:39 PM
Andros Town,BS,24.73,84.99,79,75,6.93,07/12/2019 - 05:40 PM
Butaritari,KI,3.07,84.08,75,31,10.54,07/12/2019 - 05:40 PM
Miles City,US,46.41,89.6,38,20,5.82,07/12/2019 - 05:40 PM
Port Augusta,AU,-32.49,41.0,86,0,5.82,07/12/2019 - 05:40 PM
Mehamn,NO,71.03,46.4,81,0,4.7,07/12/2019 - 05:40 PM
Belle Fourche,US,44.67,87.01,61,1,11.41,07/12/2019 - 05:40 PM
Lorengau,PG,-2.02,77.78,76,100,5.93,07/12/2019 - 05:40 PM
Viedma,AR,-40.81,47.72,62,0,4.09,07/12/2019 - 05:40 PM
Georgetown,SH,-7.93,75.08,75,0,19.39,07/12/2019 - 05:40 PM
Cap Malheureux,MU,-19.98,69.8,64,20,5.82,07/12/2019 - 05:38 PM
Rajpipla,IN,21.87,83.0,76,47,13.11,07/12/2019 - 05:40 PM
Nefteyugansk,RU,61.09,64.4,100,40,4.47,07/12/2019 - 05:40 PM
